"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"10","1009.4","...","1012.0","2022-03-10 08:37","1007.3","2022-03-10 15:04","19.6","24.9","2022-03-10 13:37","14.6","2022-03-10 03:50","...","66","37","2022-03-10 16:56","1.3","1","7.4","9","2022-03-10 15:25","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"11","1007.2","...","1009.3","2022-03-11 08:15","1004.9","2022-03-11 16:07","20.9","26.9","2022-03-11 13:50","15.6","2022-03-11 05:43","...","58","36","2022-03-11 14:50","1.5","87","7.1","21","2022-03-11 13:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"12","1006.6","...","1008.0","2022-03-12 09:45","1005.2","2022-03-12 17:09","21.6","27.1","2022-03-12 12:12","16.5","2022-03-12 06:06","...","69","50","2022-03-12 12:12","0.9","15","5.9","309","2022-03-12 13:51","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"13","1006.2","...","1008.4","2022-03-13 09:07","1003.2","2022-03-13 15:14","23.7","30.4","2022-03-13 15:25","18.3","2022-03-13 06:19","...","65","32","2022-03-13 15:29","1.3","33","6.9","357","2022-03-13 16:33","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"14","1005.4","...","1008.0","2022-03-14 10:13","1003.4","2022-03-14 16:28","23.6","28.9","2022-03-14 16:08","19.3","2022-03-14 02:43","...","64","44","2022-03-14 15:16","0.9","8","4.9","24","2022-03-14 15:03","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"15","1004.1","...","1005.4","2022-03-15 08:45","1002.2","2022-03-15 15:18","22.9","28.9","2022-03-15 12:22","19.7","2022-03-15 05:02","...","73","44","2022-03-15 12:24","1.2","6","7.6","349","2022-03-15 14:34","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"16","1004.9","...","1006.3","2022-03-16 20:57","1003.1","2022-03-16 14:56","22.7","28.1","2022-03-16 13:09","19.7","2022-03-16 00:44","...","81","51","2022-03-16 13:14","0.9","3","5.8","310","2022-03-16 14:44","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"17","1002.7","...","1005.2","2022-03-17 09:24","1000.1","2022-03-17 16:24","23.5","28.8","2022-03-17 13:18","20.5","2022-03-17 06:38","...","76","47","2022-03-17 12:15","1.2","9","6.6","11","2022-03-17 15:57","5.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"18","1001.5","...","1002.9","2022-03-18 09:58","1000.1","2022-03-18 16:38","24.0","26.9","2022-03-18 10:31","21.5","2022-03-18 23:59","...","77","54","2022-03-18 15:25","1.5","356","8.1","343","2022-03-18 12:31","0.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1003.7","...","1006.5","2022-03-19 23:51","1001.8","2022-03-19 16:04","22.8","28.3","2022-03-19 15:02","18.8","2022-03-19 06:01","...","73","51","2022-03-19 16:09","1.1","341","6.6","316","2022-03-19 12:29","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1006.6","...","1008.2","2022-03-20 09:45","1004.5","2022-03-20 15:22","23.4","28.8","2022-03-20 13:37","20.5","2022-03-20 06:11","...","79","57","2022-03-20 14:32","1.3","323","7.4","343","2022-03-20 15:14","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1007.0","...","1009.2","2022-03-21 09:33","1004.3","2022-03-21 15:37","23.7","29.6","2022-03-21 13:21","21.0","2022-03-21 04:42","...","84","57","2022-03-21 12:30","1.0","7","6.2","287","2022-03-21 16:18","1.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1006.6","...","1008.0","2022-03-22 10:00","1005.0","2022-03-22 17:55","22.2","25.6","2022-03-22 11:47","18.9","2022-03-22 23:29","...","83","72","2022-03-22 12:25","1.5","5","6.8","5","2022-03-22 12:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1007.3","...","1009.1","2022-03-23 21:37","1004.9","2022-03-23 00:31","16.7","19.5","2022-03-23 00:36","14.3","2022-03-23 22:25","...","96","83","2022-03-23 00:33","1.6","4","7.4","340","2022-03-23 18:26","41.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1008.3","...","1010.7","2022-03-24 10:31","1007.0","2022-03-24 23:23","17.5","19.4","2022-03-24 20:41","14.5","2022-03-24 01:24","...","96","90","2022-03-24 10:05","0.9","5","6.0","346","2022-03-24 01:01","5.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1004.9","...","1007.2","2022-03-25 08:03","1002.4","2022-03-25 16:07","24.1","30.4","2022-03-25 16:29","18.7","2022-03-25 04:36","...","81","61","2022-03-25 16:31","1.0","202","8.1","307","2022-03-25 13:27","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1005.2","...","1007.0","2022-03-26 10:39","1003.6","2022-03-26 15:57","25.9","28.2","2022-03-26 14:03","23.9","2022-03-26 23:06","...","77","63","2022-03-26 14:05","1.4","214","6.2","232","2022-03-26 07:31","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1006.7","...","1008.6","2022-03-27 23:21","1005.0","2022-03-27 04:14","20.3","24.5","2022-03-27 00:08","17.0","2022-03-27 23:40","...","89","78","2022-03-27 17:39","1.5","5","6.5","28","2022-03-27 06:25","2.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1010.0","...","1012.6","2022-03-28 21:33","1007.5","2022-03-28 04:29","16.3","18.0","2022-03-28 12:47","14.7","2022-03-28 06:17","...","97","90","2022-03-28 12:48","1.8","27","6.7","24","2022-03-28 12:18","35.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1009.6","...","1011.7","2022-03-29 00:37","1007.1","2022-03-29 15:51","20.7","24.9","2022-03-29 14:42","16.6","2022-03-29 00:05","...","88","69","2022-03-29 13:38","1.4","8","6.1","323","2022-03-29 15:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1009.2","...","1011.4","2022-03-30 11:14","1006.6","2022-03-30 17:19","23.0","27.4","2022-03-30 16:42","19.9","2022-03-30 06:33","...","87","68","2022-03-30 16:44","1.3","6","6.5","309","2022-03-30 06:22","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1009.5","...","1012.0","2022-03-31 09:46","1007.0","2022-03-31 15:08","23.1","29.1","2022-03-31 14:16","19.1","2022-03-31 23:25","...","86","61","2022-03-31 13:34","1.5","4","7.5","1","2022-03-31 22:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
